,DATE,PPIACO,HOUST,PCE,UMCSENT,PCE.1,PSAVERT,CPALTT01USM657N,FEDFUNDS,PPIACO_NBD20200101,HOUST_NBD20200101,PCE_NBD20200101,UMCSENT_NBD20200101,PCE_NBD20200101.1,PSAVERT_NBD20200101,CPALTT01USM657N_NBD20200101,FEDFUNDS_NBD20200101,PPIACO_CHG,HOUST_CHG,PCE_CHG,UMCSENT_CHG,PCE_CHG.1,PSAVERT_CHG,CPALTT01USM657N_CHG,FEDFUNDS_CHG,PPIACO_CCA,HOUST_CCA,PCE_CCA,UMCSENT_CCA,PCE_CCA.1,PSAVERT_CCA,CPALTT01USM657N_CCA,FEDFUNDS_CCA,PPIACO_CCH,HOUST_CCH,PCE_CCH,UMCSENT_CCH,PCE_CCH.1,PSAVERT_CCH,CPALTT01USM657N_CCH,FEDFUNDS_CCH,FEDFUNDS.1,INDPRO,UNRATE,WILL5000PR,WILL5000IND
0,1978-02-01,67.5,1738,1355.1,84.3,1355.1,11.1,0.64,6.78,33.86854,110.5598,9.14638,84.46894,9.14638,154.16667,164.95823,437.41935,0.7,20,25.6,0.6,25.6,-0.8,-0.004122383,0.08,12.50942,13.88904,22.88678,8.57147,22.88678,-83.51195,-7.70468,14.24349,1.04245,1.15742,1.90723,0.71429,1.90723,-6.95933,-0.64206,1.18696,6.78,48.0271,6.3,822.27,1.29
1,1978-03-01,68.1,2032,1377.5,78.8,1377.5,11.0,0.79491256,6.79,34.16959,129.26209,9.29757,78.95792,9.29757,152.77778,204.88652,438.06452,0.6,294,22.4,-5.5,22.4,-0.1,0.15491256,0.01,10.61954,187.5426,19.67401,-80.96264,19.67401,-10.8598,260.11673,1.76861,0.88496,15.62855,1.6395,-6.74689,1.6395,-0.90498,21.67639,0.14738,6.79,48.9459,6.3,847.81,1.34
2,1978-04-01,69.0,2197,1396.4,81.6,1396.4,10.8,0.788643533,6.89,34.62117,139.75827,9.42514,81.76353,9.42514,150.0,203.2707,444.51613,0.9,165,18.9,2.8,18.9,-0.2,-0.006269026,0.1,15.75515,93.68672,16.35268,41.89952,16.35268,-22.01897,-9.50124,17.54417,1.31293,7.80723,1.36272,3.49163,1.36272,-1.83491,-0.79177,1.46201,6.89,49.9198,6.1,916.42,1.45
3,1978-05-01,69.5,2075,1412.0,82.9,1412.0,10.3,0.938967136,7.36,34.87205,131.99746,9.53043,83.06613,9.53043,143.05556,242.01619,474.83871,0.5,-122,15.6,1.3,15.6,-0.5,0.150323603,0.47,8.6643,-68.55797,13.33157,18.96696,13.33157,-56.88269,209.35927,79.18662,0.72202,-5.71316,1.11096,1.58058,1.11096,-4.74022,17.44661,6.59888,7.36,50.1602,6.0,930.65,1.48
4,1978-06-01,70.0,2070,1425.8,80.0,1425.8,10.0,1.085271318,7.6,35.12293,131.67939,9.62357,80.16032,9.62357,138.88889,279.72569,490.32258,0.5,-5,13.8,-2.9,13.8,-0.3,0.146304182,0.24,8.60219,-2.89506,11.6711,-42.73011,11.6711,-35.47056,173.76578,38.50598,0.71685,-0.24125,0.97259,-3.56084,0.97259,-2.95588,14.48048,3.20883,7.6,50.4826,5.9,917.97,1.47
5,1978-07-01,70.4,2092,1426.8,82.4,1426.8,10.9,0.766871166,7.81,35.32363,133.07888,9.63032,82.56513,9.63032,151.38889,197.65893,503.87097,0.4,22,1.0,2.4,1.0,0.9,-0.318400152,0.21,6.83763,12.68633,0.84134,35.47056,0.84134,103.41324,-416.71978,32.70806,0.5698,1.05719,0.07011,2.95588,0.07011,8.61777,-34.72665,2.72567,7.81,50.4464,6.2,969.18,1.55
6,1978-08-01,70.4,1996,1447.0,78.4,1447.0,10.5,0.456621005,8.04,35.32363,126.97201,9.76667,78.55711,9.76667,145.83333,117.6928,518.70968,0.0,-96,20.2,-4.0,20.2,-0.4,-0.310250161,0.23,0.0,-56.37044,16.86993,-59.71381,16.86993,-44.86504,-622.1581,34.82894,0.0,-4.69754,1.40583,-4.97615,1.40583,-3.73875,-51.84651,2.90241,8.04,50.6531,5.9,1004.15,1.62
7,1978-09-01,71.0,1970,1452.9,80.4,1452.9,10.6,0.757575758,8.45,35.62469,125.31807,9.80649,80.56112,9.80649,147.22222,195.26306,545.16129,0.6,-26,5.9,2.0,5.9,0.1,0.300954753,0.41,10.18394,-15.73396,4.88293,30.2283,4.88293,11.37449,607.52377,59.68483,0.84866,-1.31116,0.40691,2.51902,0.40691,0.94787,50.62698,4.97374,8.45,50.7724,6.0,996.1,1.61
8,1978-10-01,71.8,1981,1466.9,79.3,1466.9,10.7,0.902255639,8.96,36.02609,126.01781,9.90098,79.45892,9.90098,148.61111,232.5539,578.06452,0.8,11,14.0,-1.1,14.0,0.1,0.144679882,0.51,13.44552,6.68187,11.50773,-16.53126,11.50773,11.26769,209.72922,70.32454,1.12046,0.55682,0.95898,-1.3776,0.95898,0.93897,17.47744,5.86038,8.96,51.1649,5.8,886.92,1.44
9,1978-11-01,72.1,2094,1480.6,75.0,1480.6,10.5,0.44709389,9.76,36.17662,133.20611,9.99345,75.1503,9.99345,145.83333,115.23722,629.67742,0.3,113,13.7,-4.3,13.7,-0.2,-0.455161749,0.8,5.00348,66.56921,11.1553,-66.90002,11.1553,-22.64218,-842.55513,102.62661,0.41696,5.54743,0.92961,-5.575,0.92961,-1.88685,-70.21293,8.55222,9.76,51.5582,5.9,908.34,1.48
10,1978-12-01,72.7,2044,1496.5,66.1,1496.5,10.4,0.445103858,10.03,36.47767,130.02545,10.10077,66.23246,10.10077,144.44444,114.72429,647.09677,0.6,-50,15.9,-8.9,15.9,-0.1,-0.001990032,0.27,9.94481,-29.00093,12.81796,-151.58324,12.81796,-11.48334,-5.35317,32.74584,0.82873,-2.41674,1.06816,-12.63194,1.06816,-0.95695,-0.4461,2.72882,10.03,51.8153,6.0,922.77,1.51
11,1979-01-01,73.8,1630,1502.4,72.1,1502.4,11.1,0.886262925,10.07,37.0296,103.68957,10.14059,72.24449,10.14059,154.16667,228.43182,649.67742,1.1,-414,5.9,6.0,5.9,0.7,0.441159067,0.04,18.02082,-271.59439,4.72174,104.26236,4.72174,78.16716,826.44722,4.77613,1.50173,-22.63287,0.39348,8.68853,0.39348,6.51393,68.8706,0.39801,10.07,51.5359,5.9,964.88,1.58
12,1979-02-01,74.9,1520,1517.8,73.9,1517.8,11.0,1.171303075,10.06,37.58154,96.69211,10.24454,74.0481,10.24454,152.77778,301.90014,649.03226,1.1,-110,15.4,1.8,15.4,-0.1,0.28504015,-0.01,17.75419,-83.84362,12.23771,29.59054,12.23771,-10.8598,334.63018,-1.19225,1.47952,-6.98697,1.01981,2.46588,1.01981,-0.90498,27.88585,-0.09935,10.06,51.7994,5.9,935.84,1.55
13,1979-03-01,75.8,1847,1531.2,68.4,1531.2,11.2,1.013024602,10.09,38.03312,117.49364,10.33498,68.53707,10.33498,155.55556,261.1043,650.96774,0.9,327,13.4,-5.5,13.4,0.2,-0.158278473,0.03,14.33328,233.82284,10.54779,-92.808,10.54779,21.62221,-174.21163,3.5732,1.19444,19.48524,0.87898,-7.734,0.87898,1.80185,-14.51764,0.29777,10.09,51.9544,5.8,997.62,1.65
14,1979-04-01,76.9,1748,1538.4,66.0,1538.4,11.0,1.146131805,10.01,38.58505,111.19593,10.38358,66.13226,10.38358,152.77778,295.41231,645.80645,1.1,-99,7.2,-2.4,7.2,-0.2,0.133107203,-0.08,17.2891,-66.10851,5.62941,-42.8617,5.62941,-21.62221,148.14254,-9.55229,1.44076,-5.50904,0.46912,-3.57181,0.46912,-1.80185,12.34521,-0.79602,10.01,51.334,5.8,1004.7,1.67
15,1979-05-01,77.5,1876,1558.8,68.1,1558.8,10.3,1.274787535,10.24,38.8861,119.33842,10.52127,68.23647,10.52127,143.05556,328.57297,660.64516,0.6,128,20.4,2.1,20.4,-0.7,0.12865573,0.23,9.32647,84.80349,15.80806,37.58697,15.80806,-78.90165,127.66428,27.26043,0.77721,7.06696,1.31734,3.13225,1.31734,-6.57514,10.63869,2.2717,10.24,51.7922,5.6,981.15,1.64
